"Taxa","CCCHF2","CCCHF3","CCCHF5","CCCSF1","CCCSF3","CCCSF4","CCMEF1","CCMEF4","CCMEF5","HDCHF2","HDCHF4","HDCHF5","HDCSF1","HDCSF2","HDCSF4","HDMEF2","HDMEF3","HDMEF5","HSPCHF1","HSPCHF2","HSPCHF3","HSPCSF2","HSPCSF3","HSPCSF5","HSPMEF3","HSPMEF4","HSPMEF5","SSBCHF1","SSBCHF3","SSBCHF4","SSBCSF1","SSBCSF3","SSBCSF4","SSBMEF2","SSBMEF4","SSBMEF5","XGCHF1","XGCHF3","XGCHF4","XGCSF1","XGCSF2","XGCSF3","XGMEF1","XGMEF2","XGMEF3","YSCHF1","YSCHF4","YSCHF5","YSCSF1","YSCSF3","YSCSF5","YSMEF1","YSMEF3","YSMEF4"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria",0.21761424234966,0.206538682418574,0.479489703831323,0.21404545081631,0.207236032488309,0.213512183115924,0.330338830092707,0.322667979325621,0.501968988432193,0.638198375584543,0.550209205020921,0.48744769874477,0.749651324965133,0.772745918451062,0.961235540241201,0.23357125276889,0.255517269669374,0.169579128722619,0.147058823529412,0.148822708999918,0.157108868652063,0.112478464189023,0.155427024366232,0.14414636147346,0.177126917712692,0.182787759455247,0.171343014193125,0.195052916564115,0.209779309213225,0.256994010993519,0.202477643777176,0.197555172696694,0.192837804577898,0.193289031093609,0.19870374928214,0.200631717121995,0.238862909180409,0.20132906719173,0.19652965788826,0.20149314956108,0.193371072278284,0.195586184264501,0.208056444335056,0.188489621790139,0.190827795553368,0.229305111165805,0.0963163508081057,0.780252686848798,0.158995815899582,0.160677660185413,0.177291000082041,0.147304947083436,0.159734186561654,0.124907703667241
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria",0.129255886455,0.137090819591435,0.0872507999015506,0.134670604643531,0.143079826072688,0.140044302239724,0.10989416687177,0.114488473213553,0.0811387316432849,0.0153006809418328,0.0341701534170153,0.0311346295840512,0.0518500287144146,0.0442612191320043,0.00742472721306096,0.124907703667241,0.112642546558372,0.103207810320781,0.128886701123964,0.122528509311674,0.127902206907868,0.123020756419723,0.1084994667323,0.11391418492083,0.130732627779145,0.118016244154566,0.120682582656494,0.13700877840676,0.136516531298712,0.115390926244975,0.141028796455821,0.137665107884158,0.135819181228977,0.134301419312495,0.130281401263434,0.131306916071868,0.129132824677988,0.129132824677988,0.140823693494134,0.137131840183772,0.135408975305603,0.134793666420543,0.143202887849701,0.142423496595291,0.13577816063664,0.304824021658873,0.579703010911478,0.0356879153334974,0.121215850356879,0.124169333005169,0.12724587743047,0.136639593075724,0.153827221265075,0.132496513249651
"k__Bacteria|p__Acidobacteria|c__Subgroup_6",0.138157354992206,0.140741652309459,0.09159898268931,0.134301419312495,0.138526540323242,0.13700877840676,0.111781114119288,0.11670358519977,0.0837640495528755,0.00525063581918123,0.0263762408729182,0.019730904914267,0.0138649602100254,0.0098449421609648,0.00254327672491591,0.0913938797276233,0.183156944786283,0.110058249241119,0.11268356715071,0.108704569693986,0.11469357617524,0.107884157847239,0.104971695791287,0.107843137254902,0.106243334153745,0.093567971121503,0.111945196488637,0.143325949626713,0.143325949626713,0.012306177701206,0.145992288128641,0.144474526212159,0.140864714086471,0.140249405201411,0.14615637049799,0.146853720567725,0.13204528673394,0.14119287882517,0.144638608581508,0.141767167117893,0.142218393633604,0.142054311264255,0.141890228894905,0.144064320288785,0.15095577980146,0.0131265895479531,0.00336368857166297,0.026704405611617,0.112068258265649,0.113544999589794,0.0970957420625154,0.118754614816638,0.0967675773238166,0.128968742308639
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia",0.0710066453359587,0.0768725900402002,0.0473787841496431,0.0773648371482484,0.0759291164164411,0.0764213635244893,0.0598900648125359,0.0667405037328739,0.0480761342193781,0.00516859463450652,0.0106653540077119,0.00898350972188038,0.0255558290261711,0.0100910657149889,0.0036918533103618,0.0290835999671835,0.0273607350890147,0.0490606284354746,0.0274837968660267,0.0351546476331118,0.0336779063089671,0.0380260890967266,0.0420871277381245,0.0368364919189433,0.0318730002461236,0.0319960620231356,0.0317499384691115,0.0793748461727787,0.0792107638034293,0.189515136598572,0.0761342193781278,0.0801542374271885,0.0811797522356223,0.0823693494134055,0.0797850520961523,0.0774058577405858,0.0727705308064648,0.080564443350562,0.075108704569694,0.0817950611206826,0.0832718024448273,0.0840922142915744,0.0744523750922963,0.0794158667651161,0.0798260726884896,0.0448355074247272,0.0127163836245795,0.00898350972188038,0.039010583312823,0.0322421855771597,0.0305603412913282,0.0390926244974977,0.066166215440151,0.0305193206989909
"k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes",0.0572647469029453,0.0610796619903191,0.039584871605546,0.0598900648125359,0.0602182295512347,0.0520551316761014,0.0430306013618837,0.048404298958077,0.0372466978423168,0.00397899745672328,0.0176798752973993,0.0144392485027484,0.00529165641151858,0.00397899745672328,0.000574288292722947,0.0703913364508983,0.0623923209451144,0.0749446222003446,0.0755599310854049,0.0766674870785134,0.0747805398309952,0.0828615965214538,0.062105176798753,0.0829436377061285,0.0580851587496923,0.0720321601443925,0.0721962425137419,0.0591106735581262,0.0571416851259332,0.00488145048814505,0.0602592501435721,0.0603002707359094,0.0572647469029453,0.0605463942899335,0.0593978177044877,0.0591516941504635,0.0604643531052588,0.0593567971121503,0.0533267700385594,0.0588235294117647,0.0577159734186562,0.0579620969726803,0.0593978177044877,0.0611206825826565,0.0570596439412585,0.00131265895479531,0.00110755599310854,0.0189925342521946,0.0667405037328739,0.0840922142915744,0.0685043892033801,0.0632127327918615,0.0610796619903191,0.0821642464517188
"k__Bacteria|p__Firmicutes|c__Bacilli",0.0274837968660267,0.0256378702108458,0.0220690786774961,0.0315038149150874,0.0304783001066535,0.034826482894413,0.0403642628599557,0.0347854623020756,0.0264993026499303,0.288497825908606,0.221716301583395,0.322134711625236,0.0264993026499303,0.0708015423742719,0.00356879153334974,0.0173106899663631,0.0225613257855443,0.0129214865862663,0.0116908688161457,0.0110345393387481,0.0118139305931578,0.00336368857166297,0.042948560177209,0.0118549511854951,0.0194847813602428,0.0131676101402904,0.0142341455410616,0.026704405611617,0.0284272704897859,0.0825334317827549,0.0242021494790385,0.0270735909426532,0.0299040118139306,0.0264582820575929,0.0274427762736894,0.0307244236606777,0.0236688817786529,0.0268274673886291,0.0296168676675691,0.0283862498974485,0.0271146115349906,0.0250225613257855,0.0262121585035688,0.0274427762736894,0.0284272704897859,0.122323406349988,0.159529083599967,0.00467634752645828,0.0310115678070391,0.0139880219870375,0.0161210927885799,0.0217819345311346,0.0180080400360981,0.0131265895479531
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria",0.049101649027812,0.0518090081220773,0.0263352202805809,0.0443022397243416,0.0466814340799081,0.0481581754040528,0.0374107802116663,0.0363032242185577,0.0325703503158586,0.00270735909426532,0.0132086307326278,0.00767085076708508,0.00603002707359094,0.00336368857166297,0.00139470013947001,0.0440971367626549,0.0482812371810649,0.0591516941504635,0.048404298958077,0.057469849864632,0.0558700467634753,0.0572237263106079,0.0462712281565346,0.0532447288538846,0.048527360735089,0.049224710804824,0.0496759373205349,0.048527360735089,0.0469275576339322,0.00574288292722947,0.0440150955779801,0.0475428665189925,0.0498810402822217,0.0481991959963902,0.0495938961358602,0.0487734842891131,0.0460661251948478,0.0493477725818361,0.0461481663795225,0.0434818278775946,0.0484863401427517,0.0476249077036672,0.0426614160308475,0.0507834933136435,0.0477479694806793,0.00574288292722947,0.00147674132414472,0.0120600541471819,0.0481171548117155,0.0497169579128723,0.0529575847075232,0.0487734842891131,0.0461891869718599,0.049101649027812
"k__Bacteria|p__Firmicutes|c__Clostridia",0.0407744687833292,0.0482402165887275,0.0289195175978341,0.0474608253343178,0.0442612191320043,0.0454508163097875,0.0398720157519075,0.0359340388875215,0.0282631881204365,0.0139470013947001,0.00857330379850685,0.00890146853720568,0.0393387480515219,0.0120190335548445,0.00902453031421774,0.0208794814997129,0.014275166133399,0.0317909590614488,0.00931167446057921,0.0105012716383625,0.0120190335548445,0.00356879153334974,0.0302731971449668,0.015669866272869,0.00758880958241037,0.00701452128968742,0.0207974403150381,0.045163672163426,0.0413077364837148,0.0897530560341291,0.0410205923373533,0.0434408072852572,0.0453277545327755,0.0432357043235704,0.0380260890967266,0.0386413979817869,0.041676921814751,0.0463942899335466,0.0403232422676183,0.0415128394454016,0.0460251046025105,0.0411026335220281,0.0365083271802445,0.0384773156124374,0.0413077364837148,0.0650176388547051,0.0138239396176881,0.00496349167281976,0.0129214865862663,0.0111165805234228,0.0105012716383625,0.0234637788169661,0.0184182459594717,0.0139880219870375
"k__Bacteria|p__Rokubacteria|c__NC10",0.0165723193042908,0.0168184428583149,0.0128394454015916,0.0139059808023628,0.014275166133399,0.0141521043563869,0.0119780129625072,0.0118959717778325,0.0114037246697842,0.00250225613257855,0.0151776191648207,0.0136188366560013,0.00176388547050619,0.00274837968660267,0.000287144146361473,0.0518500287144146,0.0162851751579293,0.0545984084010173,0.0641562064156206,0.0742062515382722,0.0575929116416441,0.0658790712937895,0.0627204856838133,0.0663302978095004,0.0520141110837641,0.0520961522684388,0.0470095988186069,0.0154647633111822,0.0193617195832308,0.000943473623759127,0.0169004840429896,0.0185002871441464,0.0176388547050619,0.0181311018131102,0.0189925342521946,0.0172286487816884,0.0183362047747969,0.0160390516039052,0.016367216342604,0.0171876281893511,0.0166133398966281,0.0180080400360981,0.019033554844532,0.0169004840429896,0.015095577980146,0.00414307982607269,0.00131265895479531,0.0147263926491099,0.0588645500041021,0.0632537533841989,0.0627204856838133,0.0510296168676676,0.0531626876692099,0.0563212732791862
"k__Bacteria|p__Actinobacteria|c__Actinobacteria",0.0213717286077611,0.0162441545655919,0.0124702600705554,0.0215768315694479,0.0189104930675199,0.0193206989908934,0.0222741816391829,0.0201000902453031,0.0147674132414472,0.00910657149889244,0.0102961686766757,0.0174747723357125,0.0319960620231356,0.0379030273197145,0.00299450324062679,0.036795471326606,0.0240790877020264,0.0130445483632784,0.0150135367954713,0.0141110837640496,0.0166543604889655,0.0079169743211092,0.0185413077364837,0.0284272704897859,0.0639921240462712,0.0465993928952334,0.0274837968660267,0.0224382640085323,0.0212076462384117,0.0851997702846829,0.0210845844613996,0.0191155960292067,0.0206743785380261,0.0214537697924358,0.0225613257855443,0.0245713348100747,0.0199770284682911,0.0210025432767249,0.0239560259250144,0.0202641726146526,0.0206333579456887,0.020428254984002,0.020428254984002,0.0219870374928214,0.0187464106981705,0.119616047255722,0.102182295512347,0.00586594470424153,0.0307244236606777,0.017761916482074,0.0221511198621708,0.0273197144966773,0.0287554352284847,0.0406514070063172
"k__Bacteria|p__Chloroflexi|c__Anaerolineae",0.0097629009762901,0.010214127492001,0.00705554188202478,0.00935269505291656,0.00894248912954303,0.0106243334153745,0.00886044794486832,0.011608827631471,0.00574288292722947,0.00143572073180737,0.012880465993929,0.0107473951923866,0.00381491508737386,0.00278940027894003,0.000164082369349413,0.0424152924768234,0.0459020428254984,0.0452046927557634,0.0507014521289687,0.0493887931741734,0.0487734842891131,0.064197227007958,0.0478710312576914,0.0511526786446796,0.0439740749856428,0.0438099926162934,0.0502912462055952,0.0106243334153745,0.0103782098613504,0.00151776191648207,0.0128394454015916,0.00918861268356715,0.0103782098613504,0.0108704569693986,0.00943473623759127,0.0111986217080975,0.00865534498318156,0.00947575682992862,0.0111576011157601,0.0092296332759045,0.0112806628927722,0.0125112806628928,0.0146853720567725,0.013700877840676,0.0114037246697842,4.10205923373534e-05,0.00110755599310854,0.0125933218475675,0.0480351136270408,0.0464763311182213,0.0503322667979326,0.0391336450898351,0.0401591598982689,0.0469275576339322
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia",0.0335138239396177,0.0333907621626056,0.0226023463778817,0.0301091147756174,0.0305193206989909,0.0303142177373041,0.0282221675280991,0.0269505291656412,0.0183772253671343,0.00036918533103618,0.000451226515710887,0.000656329477397654,0.00603002707359094,0.00328164738698827,0.000328164738698827,0.00315858560997621,0.00332266797932562,0.0119780129625072,0.0012306177701206,0.00168184428583149,0.00196898843219296,0.00049224710804824,0.00672737714332595,0.00348675034867503,0.00139470013947001,0.00237919435556649,0.00877840676019362,0.0337599474936418,0.0310936089917138,0.0333907621626056,0.0318730002461236,0.0318730002461236,0.0283452293051112,0.0338830092706539,0.0340881122323406,0.0320781032078103,0.0318319796537862,0.0340470916400033,0.0318319796537862,0.0349905652637624,0.0326934120928706,0.0343752563787021,0.0314217737304127,0.0311346295840512,0.0314217737304127,0.00685043892033801,0.00319960620231356,0.000820411846747067,0.00299450324062679,0.00225613257855443,0.00209205020920502,0.00467634752645828,0.00196898843219296,0.00340470916400033
"k__Bacteria|p__Actinobacteria|c__Acidimicrobiia",0.0160800721962425,0.016367216342604,0.0106653540077119,0.0142341455410616,0.0140700631717122,0.0160390516039052,0.0158749692345557,0.0110345393387481,0.010337189269013,0.00135367954713266,0.0073837066207236,0.00566084174255476,0.00549675937320535,0.00213307080154237,0.000820411846747067,0.0238739847403397,0.0117729100008204,0.0254327672491591,0.0302321765526294,0.0209615226843876,0.0248994995487735,0.0296989088522438,0.0282631881204365,0.0207564197227008,0.0256788908031832,0.0278119616047256,0.02727869390434,0.015792928049881,0.0150135367954713,0.00779391254409714,0.0157108868652063,0.0145623102797604,0.0154237427188449,0.0133727131019772,0.0169825252276643,0.0150545573878087,0.0127574042169169,0.0149314956107966,0.017064566412339,0.0130445483632784,0.0142341455410616,0.015669866272869,0.0164492575272787,0.0185823283288211,0.0184182459594717,0.0157108868652063,0.00520961522684388,0.00693248010501272,0.0249815407334482,0.0254737878414964,0.0263352202805809,0.0263352202805809,0.0249815407334482,0.0259660349495447
"k__Bacteria|p__Acidobacteria|c__Blastocatellia_Subgroup_4",0.0241611288867011,0.0248584789564361,0.0187053901058331,0.0242021494790385,0.0256378702108458,0.026581343834605,0.0229715317089179,0.0221921404545082,0.0155878250881943,0.00135367954713266,0.00237919435556649,0.00213307080154237,0.00360981212568709,0.00291246205595209,0.00073837066207236,0.00594798588891624,0.00344572975633768,0.00705554188202478,0.00660431536631389,0.00754778899007302,0.00713758306669948,0.00820411846747067,0.0073016654360489,0.00685043892033801,0.0118139305931578,0.00873738616785626,0.00947575682992862,0.0275248174583641,0.0271966527196653,0.00402001804906063,0.026007055541882,0.0292476823365329,0.029370744113545,0.0237099023709902,0.0263352202805809,0.0251046025104603,0.0255558290261711,0.0232996964476167,0.0273197144966773,0.0264172614652556,0.0246533759947494,0.0260890967265567,0.0264582820575929,0.0243662318483879,0.0283452293051112,0.000656329477397654,0.00135367954713266,0.00168184428583149,0.0110345393387481,0.0085322832061695,0.00746574780539831,0.0124292394782181,0.00783493313643449,0.0107063746000492
"k__Bacteria|p__Nitrospirae|c__Nitrospira",0.0172696693740258,0.0169415046353269,0.0114447452621216,0.019730904914267,0.0159570104192305,0.0166953810813028,0.0175568135203872,0.0150135367954713,0.00980392156862745,0.000943473623759127,0.00529165641151858,0.00332266797932562,0.00196898843219296,0.00188694724751825,0.00073837066207236,0.0126753630322422,0.00455328574944622,0.0178439576667487,0.0172286487816884,0.014398227910411,0.0202641726146526,0.0203051932069899,0.0175157929280499,0.0145623102797604,0.0153006809418328,0.0188694724751825,0.0151776191648207,0.015792928049881,0.0193206989908934,0.00127163836245795,0.0186233489211584,0.0172286487816884,0.0198949872836164,0.0182541635901222,0.0192796783985561,0.0194027401755681,0.0185002871441464,0.0194847813602428,0.0189925342521946,0.0194847813602428,0.0194437607679055,0.0175978341127246,0.0178029370744114,0.0181311018131102,0.0189104930675199,0.00496349167281976,0.00225613257855443,0.00414307982607269,0.016367216342604,0.017761916482074,0.0160390516039052,0.0164082369349413,0.0152186397571581,0.0150545573878087
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia",0.0269915497579785,0.0250635819181229,0.0175568135203872,0.0239970465173517,0.0247764377717614,0.0240380671096891,0.0198949872836164,0.0225613257855443,0.0139059808023628,0.00012306177701206,0.000164082369349413,4.10205923373534e-05,0.00118959717778325,0.00012306177701206,0.000205102961686767,0.000164082369349413,0.000656329477397654,0.00118959717778325,0.000410205923373534,0.000820411846747067,0.000656329477397654,0.00024612355402412,0.00098449421609648,0.00086143243908442,0.0006153088850603,0.000205102961686767,0.000820411846747067,0.0266223644269423,0.0226843875625564,0.00237919435556649,0.0262121585035688,0.0244482730330626,0.0258019525801953,0.02727869390434,0.0253507260644844,0.0278529821970629,0.0290425793748462,0.0273197144966773,0.0244892936253999,0.0218639757158093,0.0259660349495447,0.0296989088522438,0.0258429731725326,0.0240790877020264,0.0251046025104603,0.000574288292722947,0.00012306177701206,0.00012306177701206,0.000451226515710887,0.000656329477397654,0.000287144146361473,0.00127163836245795,0.0006153088850603,0.00012306177701206
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia",0.0139059808023628,0.0129625071786037,0.0092296332759045,0.0134137336943145,0.0171466075970137,0.0147674132414472,0.00951677742226598,0.010911477561736,0.00771187135942243,0.00086143243908442,0.00525063581918123,0.0036918533103618,0.00172286487816884,0.00172286487816884,0.000287144146361473,0.013700877840676,0.00968085979161539,0.0162441545655919,0.0201000902453031,0.0154237427188449,0.0166543604889655,0.0193206989908934,0.012306177701206,0.0166543604889655,0.0153006809418328,0.0173927311510378,0.0160390516039052,0.0125112806628928,0.0127574042169169,0.00151776191648207,0.013003527770941,0.0150545573878087,0.0134547542866519,0.0141110837640496,0.0108294363770613,0.0116498482238084,0.0123882188858807,0.012880465993929,0.0111576011157601,0.0134547542866519,0.0120600541471819,0.0118959717778325,0.0134547542866519,0.0145212896874231,0.012306177701206,0.00209205020920502,0.00049224710804824,0.00488145048814505,0.0183772253671343,0.0145623102797604,0.0146443514644351,0.0154237427188449,0.0132496513249651,0.0124292394782181
"k__Bacteria|p__Gemmatimonadetes|c__S0134_terrestrial_group",0.000533267700385594,0.000451226515710887,0.000451226515710887,0.00036918533103618,0.000164082369349413,0.00024612355402412,0.00024612355402412,0.0006153088850603,0.000656329477397654,0.00073837066207236,0.00824513905980802,0.00570186233489212,0.00049224710804824,0.000451226515710887,0.00012306177701206,0.0283452293051112,0.0391746656821724,0.0325703503158586,0.0322011649848224,0.0333907621626056,0.0302731971449668,0.0351136270407745,0.0261711379112314,0.0335138239396177,0.0199770284682911,0.0304372795143162,0.0325293297235212,0.00012306177701206,0.000287144146361473,0,0.00036918533103618,0.000533267700385594,0.00086143243908442,0.000533267700385594,0.000205102961686767,0.000533267700385594,8.20411846747067e-05,0.00036918533103618,0.0006153088850603,8.20411846747067e-05,0.000943473623759127,0.000943473623759127,0.000574288292722947,0.00086143243908442,0.00127163836245795,0,0,0.00705554188202478,0.0309295266223644,0.0305193206989909,0.0312987119534006,0.0209205020920502,0.0269915497579785,0.0282631881204365
"k__Bacteria|p__Acidobacteria|c__Subgroup_17",0.00561982115021741,0.00574288292722947,0.0036918533103618,0.0067683977356633,0.00443022397243416,0.00525063581918123,0.00447124456477152,0.00397899745672328,0.00274837968660267,0.000533267700385594,0.00488145048814505,0.00270735909426532,0.00114857658544589,0.000820411846747067,0.00024612355402412,0.0121420953318566,0.00262531790959061,0.0174747723357125,0.0196078431372549,0.0161621133809172,0.0141521043563869,0.018459266551809,0.0157108868652063,0.0172286487816884,0.0154647633111822,0.0184182459594717,0.0178849782590861,0.00648125358930183,0.00537369759619329,0.000820411846747067,0.00467634752645828,0.00693248010501272,0.00652227418163918,0.00451226515710887,0.00570186233489212,0.00619410944294036,0.0043071621954221,0.00664533595865124,0.00570186233489212,0.00541471818853064,0.005455738780868,0.00512757404216917,0.00393797686438592,0.00508655344983182,0.00488145048814505,0.00443022397243416,0.000533267700385594,0.00365083271802445,0.0143161867257363,0.0169825252276643,0.0121420953318566,0.0169415046353269,0.0148494544261219,0.0180900812207728
"k__Bacteria|p__Chloroflexi|c__KD4-96",0.00656329477397654,0.00680941832800066,0.0049224710804824,0.00639921240462712,0.00652227418163918,0.00508655344983182,0.00533267700385594,0.00590696529657888,0.00434818278775946,0.000574288292722947,0.00328164738698827,0.00377389449503651,0.00262531790959061,0.00086143243908442,0,0.0102551480843383,0.0139470013947001,0.0112396423004348,0.0170235458200016,0.0125523012552301,0.0152596603494954,0.0158339486422184,0.0139059808023628,0.013577816063664,0.0140290425793748,0.0137829190253507,0.0155057839035196,0.0073016654360489,0.00701452128968742,0.00274837968660267,0.00685043892033801,0.00697350069735007,0.00693248010501272,0.00758880958241037,0.00537369759619329,0.00541471818853064,0.00561982115021741,0.0067683977356633,0.00598900648125359,0.00631717121995242,0.00541471818853064,0.0060710476659283,0.00619410944294036,0.00574288292722947,0.00648125358930183,0.00336368857166297,0.00073837066207236,0.00389695627204857,0.0122241365165313,0.0136598572483387,0.0123882188858807,0.0156288456805316,0.0143161867257363,0.0141110837640496
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae",0.0120190335548445,0.00832718024448273,0.0085322832061695,0.0103782098613504,0.00857330379850685,0.00890146853720568,0.00717860365903684,0.0101320863073263,0.00590696529657888,0.00036918533103618,0.00147674132414472,0.000902453031421774,0.00172286487816884,0.0006153088850603,0.00036918533103618,0.00496349167281976,0.00717860365903684,0.00968085979161539,0.00488145048814505,0.00381491508737386,0.00426614160308475,0.00389695627204857,0.00582492411190418,0.00352777094101239,0.00348675034867503,0.00406103864139798,0.00988596275330216,0.00927065386824186,0.0079169743211092,0.00332266797932562,0.0113216834851095,0.00980392156862745,0.0112396423004348,0.0107473951923866,0.0120190335548445,0.012306177701206,0.0112806628927722,0.0113627040774469,0.00943473623759127,0.0115678070391336,0.0120190335548445,0.0110755599310854,0.00968085979161539,0.00980392156862745,0.0108294363770613,0.0129214865862663,0.000779391254409714,0.00143572073180737,0.00549675937320535,0.00475838871113299,0.00393797686438592,0.00697350069735007,0.00443022397243416,0.00397899745672328
"k__Bacteria|p__Acidobacteria|c__Thermoanaerobaculia",0.00947575682992862,0.00816309787513332,0.00496349167281976,0.0079169743211092,0.00787595372877184,0.00935269505291656,0.0067683977356633,0.00881942735253097,0.00516859463450652,0.00036918533103618,0.0012306177701206,0.00225613257855443,0.00127163836245795,0.000943473623759127,8.20411846747067e-05,0.00631717121995242,0.00192796783985561,0.00894248912954303,0.0103782098613504,0.00840922142915744,0.00849126261383214,0.0115267864467963,0.00619410944294036,0.00816309787513332,0.00705554188202478,0.0132496513249651,0.00639921240462712,0.00726064484371154,0.00808105669045861,0.00073837066207236,0.0079990155057839,0.00762983017474772,0.0091475920912298,0.0102961686766757,0.00910657149889244,0.00947575682992862,0.00767085076708508,0.00943473623759127,0.00996800393797686,0.00754778899007302,0.00762983017474772,0.00927065386824186,0.00910657149889244,0.00836820083682008,0.0101320863073263,0,4.10205923373534e-05,0.00209205020920502,0.00537369759619329,0.00955779801460333,0.00783493313643449,0.00931167446057921,0.00660431536631389,0.00959881860694068
