Taxa,CCCHF2,CCCHF3,CCCHF5,CCCSF1,CCCSF3,CCCSF4,CCMEF1,CCMEF4,CCMEF5,HDCHF2,HDCHF4,HDCHF5,HDCSF1,HDCSF2,HDCSF4,HDMEF2,HDMEF3,HDMEF5,HSPCHF1,HSPCHF2,HSPCHF3,HSPCSF2,HSPCSF3,HSPCSF5,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF1,SSBCHF3,SSBCHF4,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF4,SSBMEF5,XGCHF1,XGCHF3,XGCHF4,XGCSF1,XGCSF2,XGCSF3,XGMEF1,XGMEF2,XGMEF3,YSCHF1,YSCHF4,YSCHF5,YSCSF1,YSCSF3,YSCSF5,YSMEF1,YSMEF3,YSMEF4
c_Subgroup_6_g_,0.126138321,0.128066289,0.083435885,0.1191238,0.124497498,0.122692592,0.102141275,0.102756584,0.075847075,0.004389203,0.023997047,0.018049061,0.012183116,0.008655345,0.002297153,0.082697514,0.181023874,0.100295348,0.100623513,0.098818607,0.10525884,0.097218804,0.096193289,0.101608007,0.098654525,0.086061203,0.103823119,0.130240381,0.128435475,0.010911478,0.13503979,0.128886701,0.127984248,0.125235868,0.131347937,0.131019772,0.120887686,0.129378948,0.131799163,0.126917713,0.127779145,0.128722619,0.131306916,0.129460989,0.137049799,0.01312659,0.003363689,0.023709902,0.103043728,0.102961687,0.087784068,0.107514973,0.084707523,0.117565018
f_Enterobacteriaceae_g_Pantoea,0.004061039,0.011813931,0.322216753,0.004225121,0.002133071,0.00484043,0.00902453,0.012880466,0.005578801,0.56304865,0.395479531,0.059233735,0.145048815,0.295307244,0.929157437,0.056731479,0.023053573,0.012962507,0.003568792,0.001312659,0.001312659,0.000656329,0.002502256,0.00209205,0.003363689,0.000902453,0.003117565,0.000451227,0.001189597,0.001804906,0.000943474,0.000164082,0.000574288,0.000533268,0.000779391,0.001066535,0.001804906,0.000984494,0.004676348,0.001312659,0.002174091,0.000984494,0.002297153,0.001640824,0.000820412,0.003855936,0.001558783,0.746984986,0.002297153,0.002297153,0.034375256,0.011280663,0.013003528,0.011690869
f_Pseudomonadaceae_g_Pseudomonas,0.006276151,0.00972188,0.002666339,0.003527771,0.007178604,0.010501272,0.16896382,0.155509066,0.388711133,0.059069653,0.120887686,0.402576093,0.560013127,0.44392485,0.023422758,0.035851998,0.025104603,0.01316761,0.005004512,0.005906965,0.005742883,0.003732874,0.011485766,0.00553778,0.002174091,0.005619821,0.006153089,0.00274838,0.005127574,0.041882025,0.003199606,0.002502256,0.002502256,0.0027894,0.003240627,0.00348675,0.03671343,0.004020018,0.003609812,0.003937977,0.002953483,0.003363689,0.00488145,0.003240627,0.00274838,0.033677906,0.016367216,0.002174091,0.003691853,0.007055542,0.006317171,0.004020018,0.005701862,0.006194109
f_Gemmatimonadaceae_g_,0.037000574,0.039379769,0.026745426,0.039338748,0.040323242,0.035523833,0.028714415,0.030806465,0.022725408,0.003117565,0.014767413,0.01177291,0.004225121,0.003158586,0.000533268,0.055049635,0.059602921,0.057346788,0.059151694,0.059849044,0.060423333,0.06719173,0.046640413,0.063417836,0.045778981,0.056362294,0.054229223,0.040487325,0.036344245,0.002871441,0.037615883,0.04225121,0.038928542,0.039420789,0.036959554,0.037862007,0.037246698,0.039338748,0.035400771,0.038846501,0.037451801,0.037328739,0.037944048,0.041758963,0.039092624,0.000943474,0.000943474,0.015382722,0.050291246,0.064115186,0.056526376,0.052014111,0.049060628,0.063171712
o_Rokubacteriales_g_,0.015833949,0.016572319,0.01247026,0.013372713,0.014152104,0.013372713,0.011403725,0.011321683,0.010993519,0.002461236,0.015177619,0.013618837,0.001763885,0.00274838,0.000287144,0.051767988,0.015833949,0.054557388,0.064156206,0.074206252,0.05751087,0.06575601,0.062720486,0.066330298,0.051850029,0.05197309,0.047009599,0.015177619,0.019156617,0.000943474,0.016572319,0.018254164,0.016859463,0.018049061,0.018746411,0.017105587,0.017967019,0.015751907,0.016121093,0.016572319,0.016080072,0.017884978,0.018418246,0.016777422,0.014767413,0.004102059,0.001312659,0.014685372,0.058700468,0.063212733,0.062679465,0.050988596,0.052875544,0.056198212
f_Sphingomonadaceae_g_Sphingomonas,0.027811962,0.032283206,0.02079744,0.030847485,0.031873,0.033349742,0.027770941,0.026950529,0.01870539,0.002420215,0.004512265,0.006563295,0.016941505,0.015505784,0.001230618,0.016162113,0.015300681,0.015833949,0.015751907,0.018049061,0.018172122,0.020633358,0.01936172,0.017884978,0.025309705,0.021002543,0.018500287,0.034908524,0.034908524,0.015874969,0.028837476,0.029862991,0.033800968,0.031216671,0.032611371,0.03183198,0.030601362,0.032283206,0.03392403,0.033883009,0.03531873,0.031544836,0.03252933,0.034252195,0.027811962,0.032242186,0.012101075,0.005906965,0.019074575,0.015341702,0.020879481,0.019074575,0.018213143,0.01866437
f_Moraxellaceae_g_Cavicella,0.031873,0.032201165,0.016736402,0.033185659,0.032447289,0.032693412,0.022397243,0.022028058,0.017433752,0.000205103,4.10E-05,4.10E-05,8.20E-05,0.000205103,0.000123062,0.000123062,0.000123062,0.000123062,0.000164082,8.20E-05,0.000287144,0.000123062,4.10E-05,0.000410206,0.000164082,4.10E-05,0.000287144,0.032775453,0.035523833,0.000984494,0.035893018,0.036918533,0.034416277,0.033595865,0.031052588,0.033308721,0.032037083,0.035646895,0.03392403,0.031749938,0.032365247,0.034211174,0.031503815,0.029452785,0.035031586,0,0,4.10E-05,0.000287144,0.000246124,0.000205103,0.001558783,0.000328165,8.20E-05
f_Nitrospiraceae_g_Nitrospira,0.017269669,0.016941505,0.011444745,0.019730905,0.01595701,0.016695381,0.017556814,0.015013537,0.009803922,0.000943474,0.005291656,0.003322668,0.001968988,0.001886947,0.000738371,0.012675363,0.004553286,0.017843958,0.017228649,0.014398228,0.020264173,0.020305193,0.017515793,0.01456231,0.015300681,0.018869472,0.015177619,0.015792928,0.019320699,0.001271638,0.018623349,0.017228649,0.019894987,0.018254164,0.019279678,0.01940274,0.018500287,0.019484781,0.018992534,0.019484781,0.019443761,0.017597834,0.017802937,0.018131102,0.018910493,0.004963492,0.002256133,0.00414308,0.016367216,0.017761916,0.016039052,0.016408237,0.01521864,0.015054557
f_Muribaculaceae_g_,0.019033555,0.023094593,0.013905981,0.023627861,0.021617852,0.022561326,0.017761916,0.018541308,0.014767413,0.001312659,0.002215112,0.001271638,0.011526786,0.002256133,0.000820412,0.004512265,0.002912462,0.019279678,0.001886947,0.003117565,0.003773894,0.000328165,0.008491263,0.004471245,0.001722865,0.003609812,0.004512265,0.023873985,0.022766429,0.034785462,0.019977028,0.024653376,0.023463779,0.024489294,0.022397243,0.022520305,0.019074575,0.024694397,0.02010009,0.028796456,0.02424317,0.025350726,0.021822955,0.024530314,0.023504799,0.015464763,0.003691853,0.000902453,0.002953483,0.003978997,0.002461236,0.004594306,0.002707359,0.005045533
f_Lachnospiraceae_g_,0.020510296,0.025268685,0.015792928,0.025227664,0.024653376,0.024366232,0.01936172,0.019525802,0.013618837,0.00553778,0.003363689,0.003117565,0.01312659,0.001927968,0.003158586,0.008122077,0.005209615,0.015669866,0.001927968,0.003650833,0.003158586,0.000943474,0.011854951,0.003609812,0.000943474,0.0013947,0.004799409,0.023012552,0.022397243,0.016244155,0.02149479,0.023997047,0.025186644,0.023709902,0.020551317,0.021043564,0.022889491,0.024284191,0.021904996,0.022479285,0.023217655,0.021330708,0.019033555,0.020223152,0.022233161,0.016449258,0.001148577,0.000246124,0.002338174,0.001681844,0.001599803,0.002707359,0.001845927,0.001886947
f_Nitrosomonadaceae_g_MND1,0.014275166,0.013249651,0.008737386,0.016900484,0.015464763,0.013700878,0.01177291,0.010706375,0.008450242,0.001066535,0.003527771,0.002256133,0.002461236,0.001517762,0.000164082,0.017597834,0.016162113,0.015341702,0.015998031,0.014275166,0.015423743,0.017433752,0.014890475,0.011198622,0.012839445,0.01382394,0.017187628,0.01312659,0.013331693,4.10E-05,0.014931496,0.014439249,0.01665436,0.015382722,0.014398228,0.012142095,0.013208631,0.015505784,0.014029043,0.01525966,0.00972188,0.013454754,0.013413734,0.014726393,0.015013537,0.001763885,0.000451227,0.003240627,0.013372713,0.018541308,0.013536795,0.015833949,0.014603331,0.015054557
f_Gemmatimonadaceae_g_Gemmatimonas,0.017228649,0.019730905,0.010993519,0.018951514,0.016736402,0.014357207,0.012716384,0.015998031,0.012798425,0.000574288,0.001927968,0.00209205,0.000861432,0.000246124,4.10E-05,0.011403725,0.001886947,0.012880466,0.008819427,0.010501272,0.008163098,0.010337189,0.010624333,0.012839445,0.007014521,0.011116581,0.011854951,0.016203134,0.017556814,0.001476741,0.018869472,0.015628846,0.015382722,0.018992534,0.019936008,0.019115596,0.019689884,0.018049061,0.016367216,0.017146608,0.016859463,0.01866437,0.02005907,0.01731069,0.015464763,4.10E-05,8.20E-05,0.002502256,0.010173107,0.013741898,0.009188613,0.006768398,0.008778407,0.010009025
f_Enterobacteriaceae_g_,0.002297153,0.002133071,0.026089097,0.00484043,0.003855936,0.006768398,0.00348675,0.003650833,0.000943474,0.0041841,0.006645336,0.006317171,0.012347198,0.013372713,0.000410206,0.035934039,0.009434736,0.041882025,0.034006071,0.034375256,0.039707933,0.002297153,0.036959554,0.037656904,0.029534826,0.031216671,0.03117565,0.00693248,0.007916974,0.003240627,0.002338174,0.002666339,0.00135368,0.002297153,0.004635327,0.009352695,0.001517762,0.003281647,0.001599803,0.001722865,0.00135368,0.001189597,0.001968988,0.001312659,0.0013947,0.01107556,0.001722865,0.000656329,0.030970547,0.022561326,0.02424317,0.002707359,0.001927968,0.002256133
f_Bacillaceae_g_Bacillus,0.004676348,0.003035524,0.005906965,0.005373698,0.004717368,0.007055542,0.003773894,0.00344573,0.002502256,0.122036262,0.085692017,0.111247846,0.004963492,0.039830995,0.000656329,0.006563295,0.011198622,0.002871441,0.001435721,0.00135368,0.001476741,0.000574288,0.002543277,0.002297153,0.005496759,0.003076544,0.003527771,0.004266142,0.004389203,0.018418246,0.003855936,0.003978997,0.003978997,0.004389203,0.005947986,0.004389203,0.002461236,0.003691853,0.003691853,0.003773894,0.004225121,0.004799409,0.004799409,0.004348183,0.004389203,0.008040036,0.003855936,0.000861432,0.006563295,0.003691853,0.001804906,0.008245139,0.006153089,0.002420215
c_S0134_terrestrial_group_g_,0.000533268,0.000451227,0.000451227,0.000369185,0.000164082,0.000246124,0.000246124,0.000615309,0.000656329,0.000738371,0.008245139,0.005701862,0.000492247,0.000451227,0.000123062,0.028345229,0.039174666,0.03257035,0.032201165,0.033390762,0.030273197,0.035113627,0.026171138,0.033513824,0.019977028,0.03043728,0.03252933,0.000123062,0.000287144,0,0.000369185,0.000533268,0.000861432,0.000533268,0.000205103,0.000533268,8.20E-05,0.000369185,0.000615309,8.20E-05,0.000943474,0.000943474,0.000574288,0.000861432,0.001271638,0,0,0.007055542,0.030929527,0.030519321,0.031298712,0.020920502,0.02699155,0.028263188
f_Haliangiaceae_g_Haliangium,0.00902453,0.009968004,0.005660842,0.006850439,0.010132086,0.007875954,0.008655345,0.007178604,0.005906965,0.000615309,0.005209615,0.002256133,0.0013947,0.000902453,0.000123062,0.017269669,0.012675363,0.018746411,0.015464763,0.021412749,0.019648864,0.020469276,0.017802937,0.019566823,0.016039052,0.014275166,0.017269669,0.008040036,0.007670851,0.000369185,0.008696366,0.008737386,0.010542292,0.009803922,0.011485766,0.010214127,0.008655345,0.009065551,0.008081057,0.009926983,0.008081057,0.008245139,0.007793913,0.011034539,0.008614324,0,0.000656329,0.004266142,0.015874969,0.017884978,0.018787431,0.01661334,0.015792928,0.016859463
f_Atopobiaceae_g_,0.022930511,0.021658873,0.015136599,0.020551317,0.021002543,0.019566823,0.016449258,0.018049061,0.011608828,8.20E-05,0,4.10E-05,0.000533268,8.20E-05,4.10E-05,8.20E-05,0.000246124,0.000369185,0.000328165,0.000738371,0.000615309,0.000205103,0.000205103,0.000492247,0.000574288,0.000205103,0.000328165,0.023012552,0.018500287,0.000820412,0.022274182,0.019320699,0.022479285,0.023094593,0.021781935,0.023094593,0.023627861,0.022520305,0.02149479,0.017720896,0.022110099,0.024981541,0.021946017,0.020961523,0.020469276,0,8.20E-05,8.20E-05,0.000123062,0.000328165,0.000246124,0.000902453,0.000369185,0.000123062
